INFO 2025-04-30 14:16:05,090 basehttp "GET /static/assets/css/skins/skin-demo-24.css HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,086 basehttp "GET /static/assets/css/style.css HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,097 basehttp "GET /static/assets/css/demos/demo-24.css HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,099 basehttp "GET /static/assets/css/own_style.css HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,111 basehttp "GET /static/own_img/new/Sar%2002.jpg HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,111 basehttp "GET /static/own_img/sec_1.jpeg HTTP/1.1" 304 0
INFO 2025-04-30 14:16:05,272 basehttp "GET /static/own_img/sec_2.jpeg HTTP/1.1" 304 0
WARNING 2025-04-30 14:16:05,366 log Not Found: /static/assets/css/plugins/magnific-popup/magnific-popup.css.map
WARNING 2025-04-30 14:16:05,370 log Not Found: /static/assets/css/bootstrap.min.css.map
WARNING 2025-04-30 14:16:05,371 basehttp "GET /static/assets/css/bootstrap.min.css.map HTTP/1.1" 404 6458
WARNING 2025-04-30 14:16:05,388 log Not Found: /static/assets/css/plugins/jquery.countdown.css.map
WARNING 2025-04-30 14:16:05,395 basehttp "GET /static/assets/css/plugins/jquery.countdown.css.map HTTP/1.1" 404 6491
WARNING 2025-04-30 14:16:05,388 basehttp "GET /static/assets/css/plugins/magnific-popup/magnific-popup.css.map HTTP/1.1" 404 6530
WARNING 2025-04-30 14:16:05,401 log Not Found: /static/assets/css/style.css.map
WARNING 2025-04-30 14:16:05,404 log Not Found: /media/product_images/pro_1_1.jpg
WARNING 2025-04-30 14:16:05,408 log Not Found: /static/assets/css/demos/demo-24.css.map
WARNING 2025-04-30 14:16:05,417 log Not Found: /static/assets/css/plugins/owl-carousel/owl.carousel.css.map
WARNING 2025-04-30 14:16:05,418 basehttp "GET /static/assets/css/style.css.map HTTP/1.1" 404 6434
INFO 2025-04-30 14:16:05,419 basehttp "GET /static/assets/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
